Date,Habitat,Transect Number,Team members,Trap Station,Veg quad,Measurement,Value,Comments
9/5/18,Deciduous,1,Sam & Aidan,1,NW,Bare,20,
9/5/18,Deciduous,1,Sam & Aidan,1,NW,Bryophytes,10,
9/5/18,Deciduous,1,Sam & Aidan,1,NW,Vascular,70,
9/5/18,Deciduous,1,Sam & Aidan,1,NW,Litter Depth,5,
9/5/18,Deciduous,1,Sam & Aidan,2,NE,Bare,68,
9/5/18,Deciduous,1,Sam & Aidan,2,NE,Bryophytes,25,
9/5/18,Deciduous,1,Sam & Aidan,2,NE,Vascular,7,
9/5/18,Deciduous,1,Sam & Aidan,2,NE,Litter Depth,2,
9/5/18,Deciduous,1,Sam & Aidan,3,SE,Bare,94,
9/5/18,Deciduous,1,Sam & Aidan,3,SE,Bryophytes,6,
9/5/18,Deciduous,1,Sam & Aidan,3,SE,Vascular,0,
9/5/18,Deciduous,1,Sam & Aidan,3,SE,Litter Depth,1,
9/5/18,Deciduous,1,Sam & Aidan,4,NW,Bare,75,"""dead"" tree"
9/5/18,Deciduous,1,Sam & Aidan,4,NW,Bryophytes,20,
9/5/18,Deciduous,1,Sam & Aidan,4,NW,Vascular,5,
9/5/18,Deciduous,1,Sam & Aidan,4,NW,Litter Depth,4,
9/5/18,Deciduous,1,Sam & Aidan,5,SE,Bare,0,
9/5/18,Deciduous,1,Sam & Aidan,5,SE,Bryophytes,100,
9/5/18,Deciduous,1,Sam & Aidan,5,SE,Vascular,0,
9/5/18,Deciduous,1,Sam & Aidan,5,SE,Litter Depth,7,
9/12/18,Deciduous,1,Sam & Aidan,6,NW,Bare,0,
9/12/18,Deciduous,1,Sam & Aidan,6,NW,Bryophytes,40,
9/12/18,Deciduous,1,Sam & Aidan,6,NW,Vascular,60,
9/12/18,Deciduous,1,Sam & Aidan,6,NW,Litter Depth,5,
9/12/18,Deciduous,1,Sam & Aidan,7,SW,Bare,0,mysterious dead tree
9/12/18,Deciduous,1,Sam & Aidan,7,SW,Bryophytes,50,
9/12/18,Deciduous,1,Sam & Aidan,7,SW,Vascular,50,
9/12/18,Deciduous,1,Sam & Aidan,7,SW,Litter Depth,2,
9/12/18,Deciduous,1,Sam & Aidan,8,SW,Bare,0,
9/12/18,Deciduous,1,Sam & Aidan,8,SW,Bryophytes,90,
9/12/18,Deciduous,1,Sam & Aidan,8,SW,Vascular,10,
9/12/18,Deciduous,1,Sam & Aidan,8,SW,Litter Depth,15,
9/12/18,Deciduous,1,Sam & Aidan,9,SE,Bare,0,
9/12/18,Deciduous,1,Sam & Aidan,9,SE,Bryophytes,85,
9/12/18,Deciduous,1,Sam & Aidan,9,SE,Vascular,15,
9/12/18,Deciduous,1,Sam & Aidan,9,SE,Litter Depth,5,
9/12/18,Deciduous,1,Sam & Aidan,10,NW,Bare,65,
9/12/18,Deciduous,1,Sam & Aidan,10,NW,Bryophytes,30,
9/12/18,Deciduous,1,Sam & Aidan,10,NW,Vascular,5,
9/12/18,Deciduous,1,Sam & Aidan,10,NW,Litter Depth,3,
9/5/18,Deciduous,2,Emily & Austin,1,SW,Bare,100,
9/5/18,Deciduous,2,Emily & Austin,1,SW,Bryophytes,0,
9/5/18,Deciduous,2,Emily & Austin,1,SW,Vascular,0,
9/5/18,Deciduous,2,Emily & Austin,1,SW,Litter Depth,4,
9/5/18,Deciduous,2,Emily & Austin,2,SE,Bare,98,
9/5/18,Deciduous,2,Emily & Austin,2,SE,Bryophytes,1,
9/5/18,Deciduous,2,Emily & Austin,2,SE,Vascular,1,
9/5/18,Deciduous,2,Emily & Austin,2,SE,Litter Depth,4,
9/5/18,Deciduous,2,Emily & Austin,3,SE,Bare,65,
9/5/18,Deciduous,2,Emily & Austin,3,SE,Bryophytes,0,
9/5/18,Deciduous,2,Emily & Austin,3,SE,Vascular,35,
9/5/18,Deciduous,2,Emily & Austin,3,SE,Litter Depth,3,
9/5/18,Deciduous,2,Emily & Austin,4,NE,Bare,7,
9/5/18,Deciduous,2,Emily & Austin,4,NE,Bryophytes,90,
9/5/18,Deciduous,2,Emily & Austin,4,NE,Vascular,3,
9/5/18,Deciduous,2,Emily & Austin,4,NE,Litter Depth,4,
9/5/18,Deciduous,2,Emily & Austin,5,SW,Bare,25,
9/5/18,Deciduous,2,Emily & Austin,5,SW,Bryophytes,70,
9/5/18,Deciduous,2,Emily & Austin,5,SW,Vascular,5,
9/5/18,Deciduous,2,Emily & Austin,5,SW,Litter Depth,3,
9/12/18,Deciduous,2,Emily & Austin,6,SW,Bare,10,
9/12/18,Deciduous,2,Emily & Austin,6,SW,Bryophytes,85,
9/12/18,Deciduous,2,Emily & Austin,6,SW,Vascular,5,
9/12/18,Deciduous,2,Emily & Austin,6,SW,Litter Depth,,more than the ruler could measure
9/12/18,Deciduous,2,Emily & Austin,7,NE,Bare,5,
9/12/18,Deciduous,2,Emily & Austin,7,NE,Bryophytes,92,
9/12/18,Deciduous,2,Emily & Austin,7,NE,Vascular,3,
9/12/18,Deciduous,2,Emily & Austin,7,NE,Litter Depth,12,
9/12/18,Deciduous,2,"Abby, Donovan & Jackie",8,NE,Bare,45,
9/12/18,Deciduous,2,"Abby, Donovan & Jackie",8,NE,Bryophytes,50,
9/12/18,Deciduous,2,"Abby, Donovan & Jackie",8,NE,Vascular,5,
9/12/18,Deciduous,2,"Abby, Donovan & Jackie",8,NE,Litter Depth,8,
9/12/18,Deciduous,2,Emily & Austin,9,NE,Bare,0,
9/12/18,Deciduous,2,Emily & Austin,9,NE,Bryophytes,25,
9/12/18,Deciduous,2,Emily & Austin,9,NE,Vascular,75,
9/12/18,Deciduous,2,Emily & Austin,9,NE,Litter Depth,9,
9/12/18,Deciduous,2,"Abby, Donovan & Jackie",10,SE,Bare,0,
9/12/18,Deciduous,2,"Abby, Donovan & Jackie",10,SE,Bryophytes,95,
9/12/18,Deciduous,2,"Abby, Donovan & Jackie",10,SE,Vascular,5,
9/12/18,Deciduous,2,"Abby, Donovan & Jackie",10,SE,Litter Depth,9,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",1,NW,Bare,85,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",1,NW,Bryophytes,0,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",1,NW,Vascular,15,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",1,NW,Litter Depth,4,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",2,NE,Bare,0,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",2,NE,Bryophytes,100,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",2,NE,Vascular,0,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",2,NE,Litter Depth,5,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",3,SW,Bare,30,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",3,SW,Bryophytes,60,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",3,SW,Vascular,10,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",3,SW,Litter Depth,3,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",4,NE,Bare,68,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",4,NE,Bryophytes,30,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",4,NE,Vascular,2,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",4,NE,Litter Depth,1,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",5,SE,Bare,80,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",5,SE,Bryophytes,20,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",5,SE,Vascular,0,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",5,SE,Litter Depth,3,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",6,SE,Bare,95,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",6,SE,Bryophytes,5,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",6,SE,Vascular,0,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",6,SE,Litter Depth,1,
9/5/18,Hemlock,1,"Brittany, Grace & Abi",7,NW,Bare,90,
