"","Habitat","Measurement","N","meanVal1","semVal1"
"1","Deciduous","Bare",2,33.85,1.65
"2","Deciduous","Bryophytes",2,48.2,2.6
"3","Deciduous","Litter Depth",2,5.56111111111111,0.661111111111111
"4","Deciduous","Vascular",2,17.95,4.25
"5","Hemlock","Bare",2,65.05,9.05
"6","Hemlock","Bryophytes",2,21,1
"7","Hemlock","Litter Depth",2,2.15,0.45
"8","Hemlock","Vascular",2,13.95,10.05
"9","Pine","Bare",2,71.75,2.25
"10","Pine","Bryophytes",2,3.25,1.25
"11","Pine","Litter Depth",2,3.55,0.25
"12","Pine","Vascular",2,25,3.5
