"","Date","Habitat","Transect Number","Team members","Trap Station","Veg quad","Measurement","Value","Comments"
"1","9/5/18","Deciduous",1,"Sam & Aidan",1,"NW","Bare",20,NA
"2","9/5/18","Deciduous",1,"Sam & Aidan",1,"NW","Bryophytes",10,NA
"3","9/5/18","Deciduous",1,"Sam & Aidan",1,"NW","Vascular",70,NA
"4","9/5/18","Deciduous",1,"Sam & Aidan",1,"NW","Litter Depth",5,NA
"5","9/5/18","Deciduous",1,"Sam & Aidan",2,"NE","Bare",68,NA
"6","9/5/18","Deciduous",1,"Sam & Aidan",2,"NE","Bryophytes",25,NA
"7","9/5/18","Deciduous",1,"Sam & Aidan",2,"NE","Vascular",7,NA
"8","9/5/18","Deciduous",1,"Sam & Aidan",2,"NE","Litter Depth",2,NA
"9","9/5/18","Deciduous",1,"Sam & Aidan",3,"SE","Bare",94,NA
"10","9/5/18","Deciduous",1,"Sam & Aidan",3,"SE","Bryophytes",6,NA
"11","9/5/18","Deciduous",1,"Sam & Aidan",3,"SE","Vascular",0,NA
"12","9/5/18","Deciduous",1,"Sam & Aidan",3,"SE","Litter Depth",1,NA
"13","9/5/18","Deciduous",1,"Sam & Aidan",4,"NW","Bare",75,"""dead"" tree"
"14","9/5/18","Deciduous",1,"Sam & Aidan",4,"NW","Bryophytes",20,NA
"15","9/5/18","Deciduous",1,"Sam & Aidan",4,"NW","Vascular",5,NA
"16","9/5/18","Deciduous",1,"Sam & Aidan",4,"NW","Litter Depth",4,NA
"17","9/5/18","Deciduous",1,"Sam & Aidan",5,"SE","Bare",0,NA
"18","9/5/18","Deciduous",1,"Sam & Aidan",5,"SE","Bryophytes",100,NA
"19","9/5/18","Deciduous",1,"Sam & Aidan",5,"SE","Vascular",0,NA
"20","9/5/18","Deciduous",1,"Sam & Aidan",5,"SE","Litter Depth",7,NA
"21","9/12/18","Deciduous",1,"Sam & Aidan",6,"NW","Bare",0,NA
"22","9/12/18","Deciduous",1,"Sam & Aidan",6,"NW","Bryophytes",40,NA
"23","9/12/18","Deciduous",1,"Sam & Aidan",6,"NW","Vascular",60,NA
"24","9/12/18","Deciduous",1,"Sam & Aidan",6,"NW","Litter Depth",5,NA
"25","9/12/18","Deciduous",1,"Sam & Aidan",7,"SW","Bare",0,"mysterious dead tree"
"26","9/12/18","Deciduous",1,"Sam & Aidan",7,"SW","Bryophytes",50,NA
"27","9/12/18","Deciduous",1,"Sam & Aidan",7,"SW","Vascular",50,NA
"28","9/12/18","Deciduous",1,"Sam & Aidan",7,"SW","Litter Depth",2,NA
"29","9/12/18","Deciduous",1,"Sam & Aidan",8,"SW","Bare",0,NA
"30","9/12/18","Deciduous",1,"Sam & Aidan",8,"SW","Bryophytes",90,NA
"31","9/12/18","Deciduous",1,"Sam & Aidan",8,"SW","Vascular",10,NA
"32","9/12/18","Deciduous",1,"Sam & Aidan",8,"SW","Litter Depth",15,NA
