"","Date","Habitat","Transect Number","Team members","Trap Station","Ground trap","Tree","Species","Distance","DBH","Comments"
"1","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Base","Hemlock",NA,52,NA
"2","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Q1","Hemlock",1.1,55,NA
"3","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Q2","Hemlock",3.9,31,NA
"4","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Q3","Hemlock",2.4,38,NA
"5","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Q4","Hemlock",8.4,43,NA
"6","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Base","Hemlock",NA,40,NA
"7","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Q1","Sugar maple",4.3,30,NA
"8","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Q2","Red maple",6.4,34,NA
"9","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Q3","Yellow birch",5.2,24,NA
"10","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Q4","Cedar",3.7,33,NA
"11","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Base","Red maple",NA,34,NA
"12","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Q1","Sugar maple",3.7,19,NA
"13","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Q2","Red maple",1.4,34,NA
"14","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Q3","White ash",2.5,32,NA
"15","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Q4","Red maple",3.2,10,NA
"16","9/5/18","Deciduous",1,"Sam & Aidan","4","Both present","Q1","Hemlock",2.2,14,NA
"17","9/5/18","Deciduous",1,"Sam & Aidan","4","Both present","Q2","Red maple",0.5,17,NA
"18","9/5/18","Deciduous",1,"Sam & Aidan","4","Both present","Q3","Hemlock",1.6,7,NA
"19","9/5/18","Deciduous",1,"Sam & Aidan","4","Both present","Q4","Red maple",4.9,9,NA
"20","9/5/18","Deciduous",1,"Sam & Aidan","5","Both present","Base","Sugar maple",NA,25,NA
"21","9/5/18","Deciduous",1,"Sam & Aidan","5","Both present","Q1","Hemlock",3.5,13,NA
"22","9/5/18","Deciduous",1,"Sam & Aidan","5","Both present","Q2","Red maple",1.6,13,NA
