"","subject_ids","user_name","classification_id","workflow_version","habitat","transect","task_index","task","task_label","value","total_submissions","submission_index","choice","how_many","behavior_CLIMBING","behavior_EATING","behavior_FLYING","behavior_OTHER","behavior_SITTINGSTANDINGLYING","behavior_WALKINGRUNNING"
"1",27519699,"barthelmess",131466085,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"2",27519626,"barthelmess",131466160,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"3",27519619,"barthelmess",131466385,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""OPOSSUM"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"OPOSSUM","1",0,0,0,0,0,1
"4",27519606,"barthelmess",131466465,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"5",27519524,"barthelmess",131466529,20.19,"Hemlock","1",2,"T1",NA,"list(list(choice = ""TURKEY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"TURKEY","1",0,0,0,0,0,1
"6",27519544,"barthelmess",131466586,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""HUMAN"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"HUMAN","1",0,0,0,0,0,1
"7",27519667,"barthelmess",131466650,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"8",27519521,"barthelmess",131466716,20.19,"Hemlock","1",2,"T1",NA,"list(list(choice = ""RACCOON"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"RACCOON","1",0,0,0,0,0,1
"9",27519564,"barthelmess",131466860,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"10",27519628,"barthelmess",131466932,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"11",27519676,"barthelmess",131467032,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""OTHERSMALLMAMMAL"", answers = list(), filters = list()))",1,1,"OTHERSMALLMAMMAL",NA,NA,NA,NA,NA,NA,NA
"12",27519556,"barthelmess",131467129,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""PORCUPINE"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"PORCUPINE","1",0,0,0,0,0,1
"13",27519539,"barthelmess",131467186,20.19,"Hemlock","1",2,"T1",NA,"list(list(choice = ""RACCOON"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"RACCOON","1",0,0,0,0,0,1
"14",27519638,"barthelmess",131467232,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"15",27519568,"barthelmess",131775274,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"16",27519513,"barthelmess",131775501,20.19,"Hemlock","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"17",27519675,"barthelmess",131775578,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"18",27519642,"barthelmess",131775672,20.19,"Pine","2",2,"T1",NA,"list(list(choice = ""HUMAN"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"HUMAN","1",0,0,0,0,0,1
