"","transect","habitat","choice","number_species","num_critters"
"1",1,"Deciduous","DEERWHITETAILED",1,2
"2",1,"Deciduous","HUMAN",1,1
"3",1,"Deciduous","OPOSSUM",1,3
"4",1,"Deciduous","OTHERSMALLMAMMAL",1,4
"5",1,"Deciduous","RACCOON",1,1
"6",1,"Deciduous","SQUIRRELFLYING",1,3
"7",1,"Deciduous","SQUIRRELGRAY",1,26
"8",1,"Deciduous","SQUIRRELRED",1,1
"9",1,"Deciduous","WEASEL",1,1
"10",1,"Hemlock","DEERWHITETAILED",1,3
"11",1,"Hemlock","HUMAN",1,2
"12",1,"Hemlock","OPOSSUM",1,2
"13",1,"Hemlock","OTHERBIRD",1,2
"14",1,"Hemlock","OTHERSMALLMAMMAL",1,5
"15",1,"Hemlock","RACCOON",1,6
"16",1,"Hemlock","SQUIRRELFLYING",1,4
"17",1,"Hemlock","SQUIRRELGRAY",1,13
"18",1,"Hemlock","TURKEY",1,1
"19",1,"Hemlock",NA,1,1
"20",1,"Pine","HUMAN",1,5
"21",1,"Pine","OPOSSUM",1,4
"22",1,"Pine","OTHERSMALLMAMMAL",1,2
"23",1,"Pine","PORCUPINE",1,1
"24",1,"Pine","SQUIRRELFLYING",1,1
"25",1,"Pine","SQUIRRELGRAY",1,47
"26",1,"Pine","SQUIRRELRED",1,3
"27",1,"Pine","TURKEY",1,1
"28",2,"Hemlock","BLUEJAY",1,1
"29",2,"Hemlock","CROWORRAVEN",1,3
"30",2,"Hemlock","HUMAN",1,1
"31",2,"Hemlock","MOLE",1,1
"32",2,"Hemlock","OPOSSUM",1,1
"33",2,"Hemlock","OTHERBIRD",1,3
"34",2,"Hemlock","OTHERSMALLMAMMAL",1,7
"35",2,"Hemlock","SQUIRRELGRAY",1,54
"36",2,"Hemlock","SQUIRRELRED",1,2
"37",2,"Hemlock","WEASEL",1,1
"38",2,"Hemlock",NA,1,1
"39",2,"Pine","DEERWHITETAILED",1,1
"40",2,"Pine","HUMAN",1,1
"41",2,"Pine","OPOSSUM",1,1
"42",2,"Pine","RACCOON",1,3
"43",2,"Pine","SQUIRRELFLYING",1,1
"44",2,"Pine","TURKEY",1,2
